Date,Location,Latitude,Longitude,Season,RainTomorrow,RainMm,WindGustSpeed,WindGustSpeedGroup,WindGustDir,WindGustDirDegrees,WindSpeed9am,WindDir9amDegrees,WindSpeed3pm,WindDir3pmDegrees,WindSpeedChange
2016-3-29,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,2.5,32.4,Q1,SSW,196,13.8,171,7.3,191,-6.500000000000001
2016-3-30,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,2.6,36.0,Q2,W,273,7.1,285,9.4,288,2.3000000000000007
2016-3-31,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,32.8,Q1,SSW,207,10.9,236,13.5,134,2.5999999999999996
2016-4-1,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,31.3,Q1,NNE,17,6.0,327,10.2,42,4.199999999999999
2016-4-2,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,23.0,Q1,WSW,251,6.5,273,7.9,223,1.4000000000000004
2016-4-3,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,3.2,34.9,Q2,SSE,150,10.8,176,12.6,121,1.799999999999999
2016-4-4,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,4.5,32.0,Q1,SE,127,5.4,184,10.7,102,5.299999999999999
2016-4-5,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,40.7,Q2,NNE,31,6.8,357,18.4,50,11.599999999999998
2016-4-6,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,37.1,Q2,NNW,348,10.0,330,13.0,341,3.0
2016-4-7,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,42.5,Q3,SSE,160,18.1,157,14.3,146,-3.8000000000000007
2016-4-8,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.6,23.8,Q1,NNE,19,2.2,279,4.1,15,1.8999999999999995
2016-4-9,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,28.8,Q1,S,184,6.8,205,13.1,122,6.3
2016-4-10,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,18.4,Q1,WNW,297,5.0,270,1.8,323,-3.2
2016-4-11,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,34.9,Q2,S,179,4.7,274,12.2,133,7.499999999999999
2016-4-12,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,1.5,32.8,Q1,SSE,164,7.9,180,12.8,140,4.9
2016-4-13,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.5,27.4,Q1,SSE,150,6.9,189,10.9,124,4.0
2016-4-14,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.8,29.9,Q1,NE,49,2.2,189,12.6,63,10.399999999999999
2016-4-15,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,34.9,Q2,NNE,17,3.4,342,13.2,55,9.799999999999999
2016-4-16,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,18.4,Q1,ENE,60,3.4,302,8.1,111,4.699999999999999
2016-4-17,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,11.3,37.8,Q2,S,179,14.7,191,17.0,163,2.3000000000000007
